,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.0,0.0,FGSM,0.01,0,adversarial,
1,0.0,0.0,FGSM,0.01,1,adversarial,
2,0.0,0.0,FGSM,0.01,2,adversarial,
3,0.0,0.0,FGSM,0.01,3,adversarial,
4,0.0,0.0,FGSM,0.01,4,adversarial,
5,0.0,0.0,FGSM,0.01,5,adversarial,
6,0.0,0.0,FGSM,0.01,6,adversarial,
7,1.0,0.0,FGSM,0.01,7,adversarial,
8,0.0,0.0,FGSM,0.01,8,adversarial,
9,0.0,0.0,FGSM,0.01,9,adversarial,
10,0.101,0.0,FGSM,0.01,10,adversarial,
11,0.0,0.0,FGSM,0.05,0,adversarial,
12,0.0,0.0,FGSM,0.05,1,adversarial,
13,0.0,0.0,FGSM,0.05,2,adversarial,
14,0.0,0.0,FGSM,0.05,3,adversarial,
15,0.0,0.0,FGSM,0.05,4,adversarial,
16,0.0,0.0,FGSM,0.05,5,adversarial,
17,0.0,0.0,FGSM,0.05,6,adversarial,
18,1.0,0.0,FGSM,0.05,7,adversarial,
19,0.0,0.0,FGSM,0.05,8,adversarial,
20,0.0,0.0,FGSM,0.05,9,adversarial,
21,0.101,0.0,FGSM,0.05,10,adversarial,
22,0.0,0.0,FGSM,0.1,0,adversarial,
23,0.0,0.0,FGSM,0.1,1,adversarial,
24,0.0,0.0,FGSM,0.1,2,adversarial,
25,0.0,0.0,FGSM,0.1,3,adversarial,
26,0.0,0.0,FGSM,0.1,4,adversarial,
27,0.0,0.0,FGSM,0.1,5,adversarial,
28,0.0,0.0,FGSM,0.1,6,adversarial,
29,1.0,0.0,FGSM,0.1,7,adversarial,
30,0.0,0.0,FGSM,0.1,8,adversarial,
31,0.0,0.0,FGSM,0.1,9,adversarial,
32,0.101,0.0,FGSM,0.1,10,adversarial,
33,0.0,0.0,FGSM,0.2,0,adversarial,
34,0.0,0.0,FGSM,0.2,1,adversarial,
35,0.0,0.0,FGSM,0.2,2,adversarial,
36,0.0,0.0,FGSM,0.2,3,adversarial,
37,0.0,0.0,FGSM,0.2,4,adversarial,
38,0.0,0.0,FGSM,0.2,5,adversarial,
39,0.0,0.0,FGSM,0.2,6,adversarial,
40,1.0,0.0,FGSM,0.2,7,adversarial,
41,0.0,0.0,FGSM,0.2,8,adversarial,
42,0.0,0.0,FGSM,0.2,9,adversarial,
43,0.101,0.0,FGSM,0.2,10,adversarial,
44,0.0,0.0,FGSM,0.3,0,adversarial,
45,0.0,0.0,FGSM,0.3,1,adversarial,
46,0.0,0.0,FGSM,0.3,2,adversarial,
47,0.0,0.0,FGSM,0.3,3,adversarial,
48,0.0,0.0,FGSM,0.3,4,adversarial,
49,0.0,0.0,FGSM,0.3,5,adversarial,
50,0.0,0.0,FGSM,0.3,6,adversarial,
51,1.0,0.0,FGSM,0.3,7,adversarial,
52,0.0,0.0,FGSM,0.3,8,adversarial,
53,0.0,0.0,FGSM,0.3,9,adversarial,
54,0.101,0.0,FGSM,0.3,10,adversarial,
55,0.0,0.0,FGSM,0.4,0,adversarial,
56,0.0,0.0,FGSM,0.4,1,adversarial,
57,0.0,0.0,FGSM,0.4,2,adversarial,
58,0.0,0.0,FGSM,0.4,3,adversarial,
59,0.0,0.0,FGSM,0.4,4,adversarial,
60,0.0,0.0,FGSM,0.4,5,adversarial,
61,0.0,0.0,FGSM,0.4,6,adversarial,
62,1.0,0.0,FGSM,0.4,7,adversarial,
63,0.0,0.0,FGSM,0.4,8,adversarial,
64,0.0,0.0,FGSM,0.4,9,adversarial,
65,0.101,0.0,FGSM,0.4,10,adversarial,
66,0.0,0.0,BIM,0.01,0,adversarial,
67,0.0,0.0,BIM,0.01,1,adversarial,
68,0.0,0.0,BIM,0.01,2,adversarial,
69,0.0,0.0,BIM,0.01,3,adversarial,
70,0.0,0.0,BIM,0.01,4,adversarial,
71,0.0,0.0,BIM,0.01,5,adversarial,
72,0.0,0.0,BIM,0.01,6,adversarial,
73,1.0,0.0,BIM,0.01,7,adversarial,
74,0.0,0.0,BIM,0.01,8,adversarial,
75,0.0,0.0,BIM,0.01,9,adversarial,
76,0.101,0.0,BIM,0.01,10,adversarial,
77,0.0,0.0,BIM,0.05,0,adversarial,
78,0.0,0.0,BIM,0.05,1,adversarial,
79,0.0,0.0,BIM,0.05,2,adversarial,
80,0.0,0.0,BIM,0.05,3,adversarial,
81,0.0,0.0,BIM,0.05,4,adversarial,
82,0.0,0.0,BIM,0.05,5,adversarial,
83,0.0,0.0,BIM,0.05,6,adversarial,
84,1.0,0.0,BIM,0.05,7,adversarial,
85,0.0,0.0,BIM,0.05,8,adversarial,
86,0.0,0.0,BIM,0.05,9,adversarial,
87,0.101,0.0,BIM,0.05,10,adversarial,
88,0.0,0.0,BIM,0.1,0,adversarial,
89,0.0,0.0,BIM,0.1,1,adversarial,
90,0.0,0.0,BIM,0.1,2,adversarial,
91,0.0,0.0,BIM,0.1,3,adversarial,
92,0.0,0.0,BIM,0.1,4,adversarial,
93,0.0,0.0,BIM,0.1,5,adversarial,
94,0.0,0.0,BIM,0.1,6,adversarial,
95,1.0,0.0,BIM,0.1,7,adversarial,
96,0.0,0.0,BIM,0.1,8,adversarial,
97,0.0,0.0,BIM,0.1,9,adversarial,
98,0.101,0.0,BIM,0.1,10,adversarial,
99,0.0,0.0,BIM,0.2,0,adversarial,
100,0.0,0.0,BIM,0.2,1,adversarial,
101,0.0,0.0,BIM,0.2,2,adversarial,
102,0.0,0.0,BIM,0.2,3,adversarial,
103,0.0,0.0,BIM,0.2,4,adversarial,
104,0.0,0.0,BIM,0.2,5,adversarial,
105,0.0,0.0,BIM,0.2,6,adversarial,
106,1.0,0.0,BIM,0.2,7,adversarial,
107,0.0,0.0,BIM,0.2,8,adversarial,
108,0.0,0.0,BIM,0.2,9,adversarial,
109,0.101,0.0,BIM,0.2,10,adversarial,
110,0.0,0.0,BIM,0.3,0,adversarial,
111,0.0,0.0,BIM,0.3,1,adversarial,
112,0.0,0.0,BIM,0.3,2,adversarial,
113,0.0,0.0,BIM,0.3,3,adversarial,
114,0.0,0.0,BIM,0.3,4,adversarial,
115,0.0,0.0,BIM,0.3,5,adversarial,
116,0.0,0.0,BIM,0.3,6,adversarial,
117,1.0,0.0,BIM,0.3,7,adversarial,
118,0.0,0.0,BIM,0.3,8,adversarial,
119,0.0,0.0,BIM,0.3,9,adversarial,
120,0.101,0.0,BIM,0.3,10,adversarial,
121,0.0,0.0,BIM,0.4,0,adversarial,
122,0.0,0.0,BIM,0.4,1,adversarial,
123,0.0,0.0,BIM,0.4,2,adversarial,
124,0.0,0.0,BIM,0.4,3,adversarial,
125,0.0,0.0,BIM,0.4,4,adversarial,
126,0.0,0.0,BIM,0.4,5,adversarial,
