,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.9877094972067039,0.0,FGSM,0.01,0,adversarial,
1,0.9910802775024777,0.0,FGSM,0.01,1,adversarial,
2,0.972707423580786,0.0,FGSM,0.01,2,adversarial,
3,0.9756367663344407,0.0,FGSM,0.01,3,adversarial,
4,0.9724770642201835,0.0,FGSM,0.01,4,adversarial,
5,0.9627329192546584,0.0,FGSM,0.01,5,adversarial,
6,0.9678530424799081,0.0,FGSM,0.01,6,adversarial,
7,0.9709364908503767,0.0,FGSM,0.01,7,adversarial,
8,0.9683615819209039,0.0,FGSM,0.01,8,adversarial,
9,0.9584699453551913,0.0,FGSM,0.01,9,adversarial,
10,0.9731111111111111,0.0,FGSM,0.01,10,adversarial,
11,0.9374301675977653,0.0,FGSM,0.05,0,adversarial,
12,0.9484638255698712,0.0,FGSM,0.05,1,adversarial,
13,0.8438864628820961,0.0,FGSM,0.05,2,adversarial,
14,0.8604651162790697,0.0,FGSM,0.05,3,adversarial,
15,0.8577981651376146,0.0,FGSM,0.05,4,adversarial,
16,0.8472049689440994,0.0,FGSM,0.05,5,adversarial,
17,0.8771526980482205,0.0,FGSM,0.05,6,adversarial,
18,0.8428417653390743,0.0,FGSM,0.05,7,adversarial,
19,0.7909604519774012,0.0,FGSM,0.05,8,adversarial,
20,0.7683060109289618,0.0,FGSM,0.05,9,adversarial,
21,0.8584444444444445,0.0,FGSM,0.05,10,adversarial,
22,0.711731843575419,0.0,FGSM,0.1,0,adversarial,
23,0.288404360753221,0.0,FGSM,0.1,1,adversarial,
24,0.4737991266375546,0.0,FGSM,0.1,2,adversarial,
25,0.4883720930232558,0.0,FGSM,0.1,3,adversarial,
26,0.44954128440366975,0.0,FGSM,0.1,4,adversarial,
27,0.41366459627329194,0.0,FGSM,0.1,5,adversarial,
28,0.5223880597014925,0.0,FGSM,0.1,6,adversarial,
29,0.2874058127018299,0.0,FGSM,0.1,7,adversarial,
30,0.2790960451977401,0.0,FGSM,0.1,8,adversarial,
31,0.1628415300546448,0.0,FGSM,0.1,9,adversarial,
32,0.4051111111111111,0.0,FGSM,0.1,10,adversarial,
33,0.07374301675977654,0.0,FGSM,0.2,0,adversarial,
34,0.0,0.0,FGSM,0.2,1,adversarial,
35,0.019650655021834062,0.0,FGSM,0.2,2,adversarial,
36,0.009966777408637873,0.0,FGSM,0.2,3,adversarial,
37,0.016055045871559634,0.0,FGSM,0.2,4,adversarial,
38,0.004968944099378882,0.0,FGSM,0.2,5,adversarial,
39,0.03673938002296211,0.0,FGSM,0.2,6,adversarial,
40,0.0,0.0,FGSM,0.2,7,adversarial,
41,0.0011299435028248588,0.0,FGSM,0.2,8,adversarial,
42,0.0,0.0,FGSM,0.2,9,adversarial,
43,0.016,0.0,FGSM,0.2,10,adversarial,
44,0.0,0.0,FGSM,0.3,0,adversarial,
45,0.0,0.0,FGSM,0.3,1,adversarial,
46,0.0,0.0,FGSM,0.3,2,adversarial,
47,0.0,0.0,FGSM,0.3,3,adversarial,
48,0.0,0.0,FGSM,0.3,4,adversarial,
49,0.0,0.0,FGSM,0.3,5,adversarial,
50,0.0,0.0,FGSM,0.3,6,adversarial,
51,0.0,0.0,FGSM,0.3,7,adversarial,
52,0.0,0.0,FGSM,0.3,8,adversarial,
53,0.0,0.0,FGSM,0.3,9,adversarial,
54,0.0,0.0,FGSM,0.3,10,adversarial,
55,0.0,0.0,FGSM,0.4,0,adversarial,
56,0.0,0.0,FGSM,0.4,1,adversarial,
57,0.0,0.0,FGSM,0.4,2,adversarial,
58,0.0,0.0,FGSM,0.4,3,adversarial,
59,0.0,0.0,FGSM,0.4,4,adversarial,
60,0.0,0.0,FGSM,0.4,5,adversarial,
61,0.0,0.0,FGSM,0.4,6,adversarial,
62,0.0,0.0,FGSM,0.4,7,adversarial,
63,0.0,0.0,FGSM,0.4,8,adversarial,
64,0.0,0.0,FGSM,0.4,9,adversarial,
65,0.0,0.0,FGSM,0.4,10,adversarial,
66,0.9877094972067039,0.0,BIM,0.01,0,adversarial,
67,0.9910802775024777,0.0,BIM,0.01,1,adversarial,
68,0.972707423580786,0.0,BIM,0.01,2,adversarial,
69,0.9756367663344407,0.0,BIM,0.01,3,adversarial,
