,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.9843575418994414,0.0,FGSM,0.01,0,adversarial,
1,0.9910802775024777,0.0,FGSM,0.01,1,adversarial,
2,0.9683406113537117,0.0,FGSM,0.01,2,adversarial,
3,0.973421926910299,0.0,FGSM,0.01,3,adversarial,
4,0.9701834862385321,0.0,FGSM,0.01,4,adversarial,
5,0.9639751552795031,0.0,FGSM,0.01,5,adversarial,
6,0.9758897818599311,0.0,FGSM,0.01,6,adversarial,
7,0.9601722282023681,0.0,FGSM,0.01,7,adversarial,
8,0.9661016949152542,0.0,FGSM,0.01,8,adversarial,
9,0.9628415300546448,0.0,FGSM,0.01,9,adversarial,
10,0.9718888888888889,0.0,FGSM,0.01,10,adversarial,
11,0.9251396648044693,0.0,FGSM,0.05,0,adversarial,
12,0.9326065411298315,0.0,FGSM,0.05,1,adversarial,
13,0.8209606986899564,0.0,FGSM,0.05,2,adversarial,
14,0.8250276854928018,0.0,FGSM,0.05,3,adversarial,
15,0.8394495412844036,0.0,FGSM,0.05,4,adversarial,
16,0.8074534161490683,0.0,FGSM,0.05,5,adversarial,
17,0.8610792192881745,0.0,FGSM,0.05,6,adversarial,
18,0.8040904198062433,0.0,FGSM,0.05,7,adversarial,
19,0.751412429378531,0.0,FGSM,0.05,8,adversarial,
20,0.7103825136612022,0.0,FGSM,0.05,9,adversarial,
21,0.8288888888888889,0.0,FGSM,0.05,10,adversarial,
22,0.6268156424581005,0.0,FGSM,0.1,0,adversarial,
23,0.24777006937561943,0.0,FGSM,0.1,1,adversarial,
24,0.388646288209607,0.0,FGSM,0.1,2,adversarial,
25,0.4019933554817276,0.0,FGSM,0.1,3,adversarial,
26,0.3956422018348624,0.0,FGSM,0.1,4,adversarial,
27,0.33043478260869563,0.0,FGSM,0.1,5,adversarial,
28,0.5097588978185993,0.0,FGSM,0.1,6,adversarial,
29,0.16146393972012918,0.0,FGSM,0.1,7,adversarial,
30,0.20677966101694914,0.0,FGSM,0.1,8,adversarial,
31,0.10273224043715846,0.0,FGSM,0.1,9,adversarial,
32,0.33466666666666667,0.0,FGSM,0.1,10,adversarial,
33,0.03128491620111732,0.0,FGSM,0.2,0,adversarial,
34,0.0,0.0,FGSM,0.2,1,adversarial,
35,0.002183406113537118,0.0,FGSM,0.2,2,adversarial,
36,0.0011074197120708748,0.0,FGSM,0.2,3,adversarial,
37,0.0,0.0,FGSM,0.2,4,adversarial,
38,0.0,0.0,FGSM,0.2,5,adversarial,
39,0.01722158438576349,0.0,FGSM,0.2,6,adversarial,
40,0.0,0.0,FGSM,0.2,7,adversarial,
41,0.0,0.0,FGSM,0.2,8,adversarial,
42,0.0,0.0,FGSM,0.2,9,adversarial,
43,0.005111111111111111,0.0,FGSM,0.2,10,adversarial,
44,0.0,0.0,FGSM,0.3,0,adversarial,
45,0.0,0.0,FGSM,0.3,1,adversarial,
46,0.0,0.0,FGSM,0.3,2,adversarial,
47,0.0,0.0,FGSM,0.3,3,adversarial,
48,0.0,0.0,FGSM,0.3,4,adversarial,
49,0.0,0.0,FGSM,0.3,5,adversarial,
50,0.0,0.0,FGSM,0.3,6,adversarial,
51,0.0,0.0,FGSM,0.3,7,adversarial,
52,0.0,0.0,FGSM,0.3,8,adversarial,
53,0.0,0.0,FGSM,0.3,9,adversarial,
54,0.0,0.0,FGSM,0.3,10,adversarial,
55,0.0,0.0,FGSM,0.4,0,adversarial,
56,0.0,0.0,FGSM,0.4,1,adversarial,
57,0.0,0.0,FGSM,0.4,2,adversarial,
58,0.0,0.0,FGSM,0.4,3,adversarial,
59,0.0,0.0,FGSM,0.4,4,adversarial,
60,0.0,0.0,FGSM,0.4,5,adversarial,
61,0.0,0.0,FGSM,0.4,6,adversarial,
62,0.0,0.0,FGSM,0.4,7,adversarial,
63,0.0,0.0,FGSM,0.4,8,adversarial,
64,0.0,0.0,FGSM,0.4,9,adversarial,
65,0.0,0.0,FGSM,0.4,10,adversarial,
66,0.9843575418994414,0.0,BIM,0.01,0,adversarial,
67,0.9910802775024777,0.0,BIM,0.01,1,adversarial,
68,0.9683406113537117,0.0,BIM,0.01,2,adversarial,
69,0.973421926910299,0.0,BIM,0.01,3,adversarial,
70,0.9701834862385321,0.0,BIM,0.01,4,adversarial,
71,0.9639751552795031,0.0,BIM,0.01,5,adversarial,
72,0.9758897818599311,0.0,BIM,0.01,6,adversarial,
73,0.9601722282023681,0.0,BIM,0.01,7,adversarial,
74,0.9661016949152542,0.0,BIM,0.01,8,adversarial,
75,0.9628415300546448,0.0,BIM,0.01,9,adversarial,
76,0.9718888888888889,0.0,BIM,0.01,10,adversarial,
77,0.9217877094972067,0.0,BIM,0.05,0,adversarial,
78,0.9226957383548068,0.0,BIM,0.05,1,adversarial,
79,0.8176855895196506,0.0,BIM,0.05,2,adversarial,
80,0.8217054263565892,0.0,BIM,0.05,3,adversarial,
81,0.8256880733944955,0.0,BIM,0.05,4,adversarial,
82,0.8037267080745342,0.0,BIM,0.05,5,adversarial,
83,0.8507462686567164,0.0,BIM,0.05,6,adversarial,
84,0.7879440258342304,0.0,BIM,0.05,7,adversarial,
85,0.7367231638418079,0.0,BIM,0.05,8,adversarial,
86,0.6885245901639344,0.0,BIM,0.05,9,adversarial,
87,0.8187777777777778,0.0,BIM,0.05,10,adversarial,
88,0.5709497206703911,0.0,BIM,0.1,0,adversarial,
89,0.10505450941526263,0.0,BIM,0.1,1,adversarial,
90,0.3351528384279476,0.0,BIM,0.1,2,adversarial,
91,0.3532668881506091,0.0,BIM,0.1,3,adversarial,
92,0.3348623853211009,0.0,BIM,0.1,4,adversarial,
93,0.2720496894409938,0.0,BIM,0.1,5,adversarial,
94,0.43398392652123996,0.0,BIM,0.1,6,adversarial,
95,0.11302475780409042,0.0,BIM,0.1,7,adversarial,
96,0.13785310734463277,0.0,BIM,0.1,8,adversarial,
97,0.04262295081967213,0.0,BIM,0.1,9,adversarial,
98,0.26644444444444443,0.0,BIM,0.1,10,adversarial,
99,0.0033519553072625698,0.0,BIM,0.2,0,adversarial,
100,0.0,0.0,BIM,0.2,1,adversarial,
101,0.0,0.0,BIM,0.2,2,adversarial,
102,0.0,0.0,BIM,0.2,3,adversarial,
103,0.0,0.0,BIM,0.2,4,adversarial,
104,0.0,0.0,BIM,0.2,5,adversarial,
105,0.003444316877152698,0.0,BIM,0.2,6,adversarial,
106,0.0,0.0,BIM,0.2,7,adversarial,
107,0.0,0.0,BIM,0.2,8,adversarial,
108,0.0,0.0,BIM,0.2,9,adversarial,
109,0.0006666666666666666,0.0,BIM,0.2,10,adversarial,
110,0.0,0.0,BIM,0.3,0,adversarial,
111,0.0,0.0,BIM,0.3,1,adversarial,
112,0.0,0.0,BIM,0.3,2,adversarial,
113,0.0,0.0,BIM,0.3,3,adversarial,
114,0.0,0.0,BIM,0.3,4,adversarial,
115,0.0,0.0,BIM,0.3,5,adversarial,
116,0.0,0.0,BIM,0.3,6,adversarial,
117,0.0,0.0,BIM,0.3,7,adversarial,
118,0.0,0.0,BIM,0.3,8,adversarial,
119,0.0,0.0,BIM,0.3,9,adversarial,
120,0.0,0.0,BIM,0.3,10,adversarial,
121,0.0,0.0,BIM,0.4,0,adversarial,
122,0.0,0.0,BIM,0.4,1,adversarial,
123,0.0,0.0,BIM,0.4,2,adversarial,
124,0.0,0.0,BIM,0.4,3,adversarial,
125,0.0,0.0,BIM,0.4,4,adversarial,
126,0.0,0.0,BIM,0.4,5,adversarial,
127,0.0,0.0,BIM,0.4,6,adversarial,
128,0.0,0.0,BIM,0.4,7,adversarial,
129,0.0,0.0,BIM,0.4,8,adversarial,
130,0.0,0.0,BIM,0.4,9,adversarial,
131,0.0,0.0,BIM,0.4,10,adversarial,
