,acc,alpha,epsilon,kind,temperature
0,0.6933333333333334,0.0,0.0,adversarial,0
1,0.5591666666666667,0.0,0.1,adversarial,0
2,0.44216666666666665,0.0,0.2,adversarial,0
3,0.3418333333333333,0.0,0.3,adversarial,0
4,0.24908333333333332,0.0,0.4,adversarial,0
5,0.17708333333333334,0.0,0.5,adversarial,0
6,0.11875,0.0,0.6,adversarial,0
7,0.06641666666666667,0.0,0.7,adversarial,0
8,0.029583333333333333,0.0,0.8,adversarial,0
9,0.00775,0.0,0.9,adversarial,0
10,0.0,0.0,1.0,adversarial,0
11,0.6273333333333333,0.1,0.0,adversarial,0
12,0.55225,0.1,0.1,adversarial,0
13,0.4735,0.1,0.2,adversarial,0
14,0.39616666666666667,0.1,0.3,adversarial,0
15,0.3219166666666667,0.1,0.4,adversarial,0
16,0.25325,0.1,0.5,adversarial,0
17,0.20025,0.1,0.6,adversarial,0
18,0.15475,0.1,0.7,adversarial,0
19,0.11483333333333333,0.1,0.8,adversarial,0
20,0.08008333333333334,0.1,0.9,adversarial,0
21,0.05425,0.1,1.0,adversarial,0
22,0.6336666666666667,0.2,0.0,adversarial,0
23,0.5479166666666667,0.2,0.1,adversarial,0
24,0.46425,0.2,0.2,adversarial,0
25,0.3784166666666667,0.2,0.3,adversarial,0
26,0.2925833333333333,0.2,0.4,adversarial,0
27,0.22291666666666668,0.2,0.5,adversarial,0
28,0.16733333333333333,0.2,0.6,adversarial,0
29,0.126,0.2,0.7,adversarial,0
30,0.08908333333333333,0.2,0.8,adversarial,0
31,0.06283333333333334,0.2,0.9,adversarial,0
32,0.0385,0.2,1.0,adversarial,0
33,0.64275,0.3,0.0,adversarial,0
34,0.5449166666666667,0.3,0.1,adversarial,0
35,0.4554166666666667,0.3,0.2,adversarial,0
36,0.3630833333333333,0.3,0.3,adversarial,0
37,0.27375,0.3,0.4,adversarial,0
38,0.20258333333333334,0.3,0.5,adversarial,0
39,0.14858333333333335,0.3,0.6,adversarial,0
40,0.105,0.3,0.7,adversarial,0
41,0.0725,0.3,0.8,adversarial,0
42,0.04775,0.3,0.9,adversarial,0
43,0.0275,0.3,1.0,adversarial,0
44,0.6485833333333333,0.4,0.0,adversarial,0
45,0.54475,0.4,0.1,adversarial,0
46,0.4495,0.4,0.2,adversarial,0
47,0.35308333333333336,0.4,0.3,adversarial,0
48,0.26408333333333334,0.4,0.4,adversarial,0
49,0.19083333333333333,0.4,0.5,adversarial,0
50,0.13391666666666666,0.4,0.6,adversarial,0
51,0.08941666666666667,0.4,0.7,adversarial,0
52,0.06283333333333334,0.4,0.8,adversarial,0
53,0.03858333333333333,0.4,0.9,adversarial,0
54,0.02075,0.4,1.0,adversarial,0
55,0.6505,0.5,0.0,adversarial,0
56,0.5465,0.5,0.1,adversarial,0
57,0.44183333333333336,0.5,0.2,adversarial,0
58,0.3471666666666667,0.5,0.3,adversarial,0
59,0.26058333333333333,0.5,0.4,adversarial,0
60,0.18433333333333332,0.5,0.5,adversarial,0
61,0.12583333333333332,0.5,0.6,adversarial,0
62,0.08083333333333333,0.5,0.7,adversarial,0
63,0.05291666666666667,0.5,0.8,adversarial,0
64,0.03075,0.5,0.9,adversarial,0
65,0.0165,0.5,1.0,adversarial,0
66,0.6560833333333334,0.6,0.0,adversarial,0
67,0.548,0.6,0.1,adversarial,0
68,0.4385,0.6,0.2,adversarial,0
69,0.3401666666666667,0.6,0.3,adversarial,0
70,0.25433333333333336,0.6,0.4,adversarial,0
71,0.18125,0.6,0.5,adversarial,0
72,0.12033333333333333,0.6,0.6,adversarial,0
73,0.07583333333333334,0.6,0.7,adversarial,0
74,0.04733333333333333,0.6,0.8,adversarial,0
75,0.02725,0.6,0.9,adversarial,0
76,0.013166666666666667,0.6,1.0,adversarial,0
77,0.6594166666666667,0.7,0.0,adversarial,0
78,0.5494166666666667,0.7,0.1,adversarial,0
79,0.4365833333333333,0.7,0.2,adversarial,0
80,0.33716666666666667,0.7,0.3,adversarial,0
81,0.2544166666666667,0.7,0.4,adversarial,0
82,0.17766666666666667,0.7,0.5,adversarial,0
83,0.11583333333333333,0.7,0.6,adversarial,0
84,0.07291666666666667,0.7,0.7,adversarial,0
85,0.044333333333333336,0.7,0.8,adversarial,0
86,0.0245,0.7,0.9,adversarial,0
87,0.010916666666666667,0.7,1.0,adversarial,0
88,0.66175,0.8,0.0,adversarial,0
89,0.5505833333333333,0.8,0.1,adversarial,0
90,0.4335,0.8,0.2,adversarial,0
91,0.33541666666666664,0.8,0.3,adversarial,0
92,0.2529166666666667,0.8,0.4,adversarial,0
93,0.17525,0.8,0.5,adversarial,0
94,0.11391666666666667,0.8,0.6,adversarial,0
95,0.0715,0.8,0.7,adversarial,0
96,0.041,0.8,0.8,adversarial,0
97,0.021833333333333333,0.8,0.9,adversarial,0
98,0.00975,0.8,1.0,adversarial,0
99,0.6653333333333333,0.9,0.0,adversarial,0
100,0.5500833333333334,0.9,0.1,adversarial,0
101,0.43266666666666664,0.9,0.2,adversarial,0
102,0.33475,0.9,0.3,adversarial,0
103,0.25116666666666665,0.9,0.4,adversarial,0
104,0.17566666666666667,0.9,0.5,adversarial,0
105,0.11316666666666667,0.9,0.6,adversarial,0
106,0.07008333333333333,0.9,0.7,adversarial,0
107,0.03808333333333333,0.9,0.8,adversarial,0
108,0.020416666666666666,0.9,0.9,adversarial,0
109,0.008166666666666666,0.9,1.0,adversarial,0
110,0.6665,1.0,0.0,adversarial,0
111,0.5495,1.0,0.1,adversarial,0
112,0.43241666666666667,1.0,0.2,adversarial,0
113,0.33341666666666664,1.0,0.3,adversarial,0
114,0.24966666666666668,1.0,0.4,adversarial,0
115,0.17475,1.0,0.5,adversarial,0
116,0.11158333333333334,1.0,0.6,adversarial,0
117,0.06825,1.0,0.7,adversarial,0
118,0.03575,1.0,0.8,adversarial,0
119,0.019166666666666665,1.0,0.9,adversarial,0
120,0.007083333333333333,1.0,1.0,adversarial,0
